id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
ts22463,2004,23,"['action', 'comedy', 'animation', 'fantasy', 'scifi']",7,8.6,26514
ts21440,2010,54,"['action', 'war', 'drama', 'history']",1,8.3,115400
ts22027,2007,42,"['drama', 'thriller', 'romance']",6,7.4,167534
ts21788,2003,60,['comedy'],21,7.4,13840
ts20562,2009,21,"['comedy', 'family']",9,7.6,50759
ts17942,2003,21,"['comedy', 'music']",3,8.8,66715
ts580,2005,49,"['crime', 'drama']",7,7.8,26817
ts21860,2010,45,"['drama', 'thriller', 'romance']",7,7.4,170380
ts21749,2003,48,"['drama', 'romance', 'sport']",9,7.8,82467
ts21804,2003,43,"['drama', 'comedy', 'romance']",4,7.5,91496
ts21507,2010,24,"['animation', 'horror', 'drama', 'thriller', 'comedy', 'crime', 'action', 'family', 'fantasy']",4,8.1,14274
ts21532,2010,43,"['drama', 'crime']",7,7.6,35158
ts8782,2003,52,"['scifi', 'thriller', 'drama', 'fantasy']",2,8.4,45429
ts21601,2001,23,"['action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller']",5,8.5,55095
ts17808,2005,22,"['animation', 'action', 'comedy', 'drama']",4,8.5,32222
ts2578,2003,44,"['drama', 'crime', 'thriller']",7,7.6,28768
ts16452,2007,27,"['comedy', 'music']",2,8.6,62814
ts22314,2005,11,"['comedy', 'drama', 'thriller', 'animation', 'scifi', 'action']",11,7.7,44247
ts20986,2006,51,"['action', 'drama', 'scifi', 'fantasy', 'horror', 'thriller', 'european']",4,7.7,41845
ts36879,2001,53,"['documentation', 'reality', 'sport']",18,8.0,23
ts21776,2003,23,"['action', 'animation', 'comedy', 'family', 'fantasy', 'scifi', 'thriller']",5,7.9,34016
ts21438,2010,21,"['comedy', 'romance']",6,6.5,26538
ts21884,2008,70,"['drama', 'history']",1,8.5,31572
ts85715,2004,24,"['action', 'animation', 'family', 'fantasy', 'scifi']",3,8.7,17294
ts21873,2001,23,"['action', 'scifi', 'thriller', 'family', 'fantasy', 'animation', 'romance', 'drama']",2,8.6,47823
ts13170,2004,22,"['scifi', 'action', 'thriller', 'animation', 'fantasy', 'family', 'crime', 'drama']",5,7.3,12353
ts22225,2010,12,"['comedy', 'animation', 'action', 'family', 'fantasy', 'scifi']",8,8.5,48173
ts20647,2010,23,"['scifi', 'action', 'fantasy', 'romance', 'drama', 'animation', 'crime']",4,8.6,42487
ts20599,2008,67,"['war', 'drama', 'action']",1,8.5,55211
ts6889,2009,27,"['crime', 'comedy', 'drama', 'thriller']",3,7.9,33837
ts9273,2001,25,"['drama', 'romance']",14,7.6,14045
ts2024,2004,28,"['drama', 'comedy']",8,8.5,171335
