id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
ts26322,2008,30,"['animation', 'romance', 'comedy', 'drama']",2,8.0,16549
ts20544,2006,23,"['comedy', 'drama', 'animation', 'romance']",1,8.2,10614
ts14102,2007,22,['animation'],4,4.3,136
ts178360,2010,44,"['thriller', 'war', 'action', 'crime', 'horror']",1,6.7,243
ts12701,2003,24,"['scifi', 'comedy', 'action', 'fantasy', 'thriller', 'animation', 'family', 'romance']",5,7.3,5361
ts20526,2006,22,"['drama', 'comedy', 'romance', 'sport']",10,6.8,4597
ts21664,2001,20,['comedy'],5,7.1,2401
ts34414,2007,44,['comedy'],1,7.2,236
ts21706,2006,25,"['drama', 'scifi', 'family', 'fantasy']",3,7.2,16221
ts74928,2009,44,"['documentation', 'history', 'war', 'european']",1,7.6,682
ts12444,2010,59,['drama'],1,7.3,106
ts1464,2008,44,"['action', 'drama', 'crime', 'thriller', 'comedy']",2,8.0,804
ts27459,2008,45,"['action', 'drama']",1,7.0,1422
ts911,2010,40,['reality'],10,3.6,728
ts20535,2009,18,"['animation', 'comedy', 'family', 'european']",5,5.4,2791
ts20358,2002,21,['comedy'],4,7.1,1954
ts12815,2009,25,"['comedy', 'drama', 'family', 'music']",4,6.4,13027
ts21421,2005,9,"['animation', 'comedy', 'family', 'european']",4,4.0,99
ts23797,2009,37,"['action', 'comedy', 'sport', 'crime']",3,7.6,334
ts67595,2001,44,"['comedy', 'drama']",1,7.5,365
ts23835,2009,6,"['animation', 'comedy', 'family', 'action']",5,7.5,3381
ts20398,2002,24,['comedy'],4,8.4,4609
ts3666,2007,25,"['scifi', 'comedy', 'drama', 'animation']",1,7.8,936
ts21967,2005,18,"['animation', 'drama', 'action', 'comedy', 'family', 'scifi']",6,5.1,8694
ts1893,2009,14,"['comedy', 'family', 'fantasy', 'animation', 'european']",3,7.4,1375
ts98353,2009,26,"['animation', 'family']",1,6.2,27
ts30356,2010,15,"['animation', 'action', 'comedy', 'family']",7,7.6,1207
ts17028,2007,21,"['action', 'scifi', 'comedy', 'animation', 'family', 'western']",2,5.8,792
ts38159,2008,22,"['scifi', 'animation', 'action', 'drama', 'family', 'fantasy', 'european']",3,8.1,1645
ts56589,2010,11,"['animation', 'comedy', 'family']",6,5.3,165
ts31593,2003,10,"['family', 'animation', 'action', 'scifi', 'comedy', 'fantasy']",7,6.4,104
ts21695,2009,61,"['drama', 'action', 'comedy', 'reality', 'romance', 'thriller']",2,7.8,1951
ts18653,2008,22,"['action', 'animation', 'comedy']",12,4.4,995
ts63295,2006,72,['drama'],1,8.7,1109
ts44053,2009,46,['war'],3,0.0,0
ts4866,2008,67,"['drama', 'comedy', 'romance']",1,7.4,510
ts70843,2005,44,"['drama', 'romance', 'comedy']",1,6.8,148
ts29199,2006,56,"['animation', 'comedy']",1,7.9,455
ts42914,2010,7,"['comedy', 'family', 'fantasy', 'romance', 'action', 'animation', 'european']",3,6.8,742
ts72322,2009,43,"['drama', 'action']",2,6.5,322
ts74931,2008,0,"['action', 'family', 'animation', 'comedy']",1,7.0,101
ts44663,2010,10,"['animation', 'drama', 'comedy', 'european']",1,7.4,638
ts121176,2010,24,"['animation', 'comedy', 'family', 'fantasy', 'horror', 'music', 'scifi']",1,6.5,427
ts23808,2009,55,"['documentation', 'comedy']",1,8.1,1822
ts39604,2006,48,['drama'],1,7.3,50
ts40702,2009,44,['drama'],1,5.4,6
ts8614,2010,44,"['drama', 'action']",1,6.7,8
ts204466,2002,0,"['romance', 'comedy', 'drama']",1,8.5,201
ts188031,2007,15,"['romance', 'drama', 'comedy']",1,6.2,5
ts29581,2010,44,"['action', 'drama', 'thriller']",2,8.0,25
ts95855,2002,30,['drama'],1,0.0,0
ts160526,2005,19,"['reality', 'scifi', 'family']",11,9.5,3207
ts20660,2011,54,"['drama', 'comedy']",11,8.6,248907
ts278,2011,59,"['scifi', 'drama', 'thriller', 'european']",5,8.8,560631
ts8175,2012,57,"['drama', 'history', 'european']",12,8.6,28078
ts20564,2011,21,"['comedy', 'romance']",7,7.8,229926
ts17598,2012,42,"['drama', 'action', 'crime', 'scifi']",8,7.5,435150
ts20436,2012,22,"['comedy', 'action']",5,8.3,23166
ts21580,2012,53,"['western', 'drama', 'action', 'crime']",6,8.3,36835
ts32835,2011,23,"['action', 'drama', 'animation', 'comedy', 'fantasy']",1,9.0,106715
ts20457,2012,23,"['scifi', 'action', 'drama', 'animation', 'comedy', 'family', 'fantasy']",4,8.4,124910
ts21503,2012,22,['comedy'],6,7.5,33349
ts21095,2012,24,"['action', 'scifi', 'horror', 'comedy', 'family', 'fantasy', 'thriller', 'animation', 'crime', 'drama']",5,7.9,11964
ts27680,2012,59,"['drama', 'romance', 'comedy', 'european']",5,8.4,7694
ts20433,2012,24,"['animation', 'action', 'thriller', 'comedy', 'drama', 'fantasy', 'horror']",5,8.5,26839
ts20429,2012,23,"['scifi', 'action', 'drama', 'animation', 'thriller', 'fantasy', 'comedy', 'romance']",4,7.5,47535
ts83043,2011,42,['reality'],8,7.7,226
ts34737,2011,42,"['drama', 'thriller', 'action', 'crime']",3,8.0,2445
ts20500,2012,45,"['drama', 'crime', 'comedy']",3,7.9,30686
ts20458,2012,18,"['action', 'comedy', 'family', 'fantasy', 'scifi', 'animation', 'european']",16,7.4,5649
ts9794,2012,17,"['comedy', 'family', 'animation']",11,8.0,13013
ts33338,2011,48,"['drama', 'thriller', 'crime', 'european']",2,8.4,27390
ts36647,2012,40,"['drama', 'comedy', 'european']",5,8.1,8718
ts32561,2011,45,"['comedy', 'drama', 'romance']",1,6.8,169
ts27835,2012,22,['documentation'],10,7.6,1573
ts34151,2011,25,"['scifi', 'action', 'comedy', 'crime', 'animation']",2,7.2,1131
ts27468,2012,22,"['scifi', 'action', 'comedy', 'family', 'animation']",4,6.6,984
ts34552,2011,22,['comedy'],2,6.6,508
ts9246,2011,24,"['action', 'comedy', 'scifi', 'drama', 'family', 'animation', 'fantasy', 'horror']",2,7.4,13844
ts39093,2012,23,['drama'],4,6.9,2921
