platform,id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
Paramount,ts20880,2014,42,"['action', 'drama', 'crime']",7,6.8,19006
Paramount,ts20047,2013,21,['comedy'],5,7.7,4337
Paramount,ts32060,2013,24,"['family', 'comedy', 'drama']",1,5.6,10400
Paramount,ts38135,2014,22,"['action', 'comedy', 'family', 'scifi', 'animation']",7,5.7,948
Paramount,ts37501,2013,19,"['family', 'animation']",3,5.7,575
Paramount,ts32218,2013,24,"['comedy', 'scifi', 'action', 'drama', 'family']",4,5.7,6034
Paramount,ts5368,2014,42,"['drama', 'romance', 'thriller']",5,7.6,4115
Paramount,ts18538,2014,45,"['scifi', 'drama', 'thriller']",2,6.5,24398
Paramount,ts521,2013,42,['reality'],10,5.0,495
Paramount,ts16262,2014,23,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance']",4,4.9,2182
Paramount,ts20883,2014,23,"['comedy', 'family']",4,5.2,2909
Paramount,ts20122,2013,41,"['drama', 'romance']",4,6.9,2668
Paramount,ts33474,2013,22,"['comedy', 'reality']",2,7.6,1468
Paramount,ts37871,2014,49,"['documentation', 'war']",10,7.5,137
Paramount,ts35868,2014,42,['reality'],3,4.5,722
Paramount,ts20285,2014,41,['reality'],6,5.9,524
Paramount,ts20271,2014,41,"['reality', 'drama']",6,5.4,414
Paramount,ts20803,2013,18,"['animation', 'comedy', 'family']",3,4.5,3492
Paramount,ts22416,2013,41,['reality'],1,3.6,464
Paramount,ts75954,2014,8,"['animation', 'comedy', 'family', 'european']",4,8.9,1207
Paramount,ts38140,2014,25,"['family', 'animation']",3,3.6,329
Paramount,ts35982,2014,21,['comedy'],3,7.4,521
Paramount,ts22427,2013,18,"['animation', 'family', 'scifi', 'action', 'comedy']",1,5.7,1315
Paramount,ts33590,2013,24,"['comedy', 'fantasy', 'family']",2,5.1,2664
Paramount,ts4268,2014,20,"['scifi', 'animation', 'comedy', 'action', 'family']",2,2.6,3650
Paramount,ts20084,2014,21,"['animation', 'comedy']",2,6.5,1425
Paramount,ts32115,2013,21,"['comedy', 'reality', 'drama']",4,7.4,1252
Paramount,ts75173,2014,24,"['fantasy', 'animation', 'family']",4,7.8,835
Paramount,ts37583,2013,21,"['comedy', 'drama', 'family']",3,6.5,826
Paramount,ts45603,2013,21,['comedy'],3,6.0,267
Paramount,ts71946,2013,45,"['documentation', 'thriller', 'history']",7,7.7,37
Paramount,ts4104,2013,23,"['comedy', 'family']",2,2.5,379
Paramount,ts136521,2014,45,['documentation'],3,7.8,64
Paramount,ts44178,2013,46,['documentation'],1,8.3,12
Paramount,ts140162,2013,20,[],2,0.0,0
Paramount,ts44106,2014,21,['comedy'],1,8.0,165
Paramount,ts78540,2013,52,"['documentation', 'war', 'history']",1,6.5,60
Paramount,ts99532,2013,38,['documentation'],2,7.5,30
Paramount,ts52207,2014,42,['reality'],1,7.9,28
Paramount,ts98077,2014,1,['comedy'],2,8.5,325
Paramount,ts157351,2013,48,"['action', 'documentation']",3,8.3,10
Paramount,ts70196,2013,41,['reality'],1,6.6,88
Paramount,ts45940,2014,39,['reality'],2,8.4,87
Paramount,ts83035,2014,24,['documentation'],1,7.9,9
Paramount,ts166066,2013,32,['reality'],2,9.0,42
Paramount,ts160567,2013,45,['documentation'],1,8.2,28
Paramount,ts37212,2015,41,['comedy'],8,7.2,14249
Paramount,ts21950,2015,24,"['drama', 'comedy', 'romance']",7,7.8,23985
Paramount,ts41876,2016,43,"['drama', 'crime', 'comedy']",6,7.1,20694
Paramount,ts53159,2016,18,"['horror', 'comedy', 'fantasy', 'action', 'animation', 'music', 'family', 'thriller', 'drama']",7,7.0,7040
Paramount,ts36672,2015,43,"['action', 'scifi', 'comedy', 'crime', 'drama', 'thriller']",1,7.6,68796
Paramount,ts35213,2015,22,"['family', 'comedy', 'music']",5,7.2,3788
Paramount,ts41580,2016,42,"['action', 'drama']",5,5.3,21959
Paramount,ts35549,2015,21,"['comedy', 'history']",3,7.3,5126
Paramount,ts38408,2016,43,"['scifi', 'horror', 'thriller', 'comedy', 'drama']",1,8.0,11508
Paramount,ts35596,2015,23,"['comedy', 'family', 'sport']",2,5.1,2361
Paramount,ts42074,2016,21,['comedy'],4,7.1,10043
Paramount,ts42116,2015,23,['drama'],3,5.6,306
Paramount,ts134246,2015,18,['comedy'],5,6.8,80
Paramount,ts56748,2016,22,"['drama', 'thriller', 'reality']",3,7.1,2242
Paramount,ts38702,2016,22,"['comedy', 'music', 'family']",3,4.3,2241
Paramount,ts44940,2016,22,"['reality', 'comedy']",3,6.9,246
Paramount,ts99530,2015,46,['documentation'],1,0.0,0
Paramount,ts35367,2015,17,"['animation', 'comedy', 'family', 'fantasy']",2,7.1,2223
Paramount,ts35862,2015,21,['comedy'],2,7.5,2670
Paramount,ts38209,2016,20,['comedy'],3,6.5,3472
Paramount,ts43396,2015,20,"['animation', 'family', 'fantasy']",4,5.1,525
