id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
ts29358,2000,24,"['animation', 'comedy', 'scifi', 'horror', 'thriller']",1,8.0,2261
ts11981,1998,44,"['drama', 'romance']",4,6.9,12189
ts9612,1997,44,"['drama', 'comedy', 'romance', 'fantasy', 'music']",5,6.9,34498
ts21034,2000,25,"['animation', 'action', 'comedy', 'drama', 'fantasy', 'romance', 'scifi']",9,7.9,16790
ts30927,1993,22,"['scifi', 'animation', 'comedy', 'fantasy', 'horror']",3,7.5,1402
ts37874,1994,44,"['western', 'drama']",4,7.3,895
ts6602,1997,29,"['comedy', 'romance']",5,6.4,30052
ts26133,1994,43,"['scifi', 'action', 'comedy', 'thriller', 'crime', 'fantasy']",1,5.5,2632
ts21558,2000,22,"['scifi', 'action', 'comedy', 'animation', 'family', 'fantasy']",5,7.4,20229
ts12767,1996,25,"['animation', 'comedy', 'family']",7,6.9,6187
ts3534,1995,23,"['comedy', 'family', 'animation']",3,5.6,873
ts25550,1994,20,"['comedy', 'drama']",4,5.8,1853
ts7221,1996,21,"['fantasy', 'animation', 'comedy', 'drama', 'family', 'music', 'scifi']",25,7.4,14717
ts21737,1997,45,"['drama', 'crime', 'romance', 'thriller']",8,7.7,9638
ts18498,1992,46,"['scifi', 'crime', 'drama', 'fantasy', 'horror']",3,7.6,2852
ts35810,2000,27,['documentation'],11,8.5,15
ts21704,1994,44,"['drama', 'crime']",4,7.9,2708
ts10993,1991,30,"['comedy', 'european']",3,8.3,13470
ts6190,1999,18,"['animation', 'family', 'comedy']",6,7.5,38710
ts15069,1998,50,"['documentation', 'crime', 'drama', 'history', 'thriller']",7,8.0,1216
ts22137,1998,34,['comedy'],4,8.2,8340
ts6589,1996,16,"['comedy', 'scifi', 'animation', 'family', 'fantasy']",4,7.9,47163
ts11119,1992,25,['family'],7,7.1,1665
ts13984,2000,26,"['action', 'family', 'animation', 'comedy', 'fantasy']",8,4.2,6941
ts11118,2000,23,"['animation', 'family', 'comedy', 'music']",3,5.3,171
ts14867,1995,82,['drama'],1,6.7,181
ts68960,1999,0,['drama'],1,7.2,119
ts22282,1999,36,"['drama', 'european']",2,8.2,7232
ts9770,1991,23,"['action', 'family', 'animation', 'comedy', 'scifi', 'crime', 'european']",7,8.3,18468
ts21705,1994,48,"['documentation', 'thriller', 'history', 'european']",21,8.5,1614
ts35314,1999,30,['comedy'],2,8.4,585
ts31816,1997,62,"['drama', 'comedy', 'romance']",1,7.7,836
ts35382,1997,85,"['action', 'drama', 'romance', 'european']",1,7.3,1142
ts25096,1998,45,"['drama', 'family']",2,7.6,368
ts25996,1994,24,"['drama', 'comedy', 'scifi', 'action', 'fantasy', 'romance', 'animation']",2,7.7,889
ts18424,1998,23,"['animation', 'comedy', 'drama', 'family', 'fantasy']",10,3.9,3394
ts31327,1997,19,"['family', 'fantasy', 'european']",15,3.8,8147
ts31058,1999,26,"['comedy', 'family', 'animation']",2,7.5,3096
ts18398,1992,36,['comedy'],8,7.9,576
ts27611,1996,21,['documentation'],8,6.0,26
ts7242,1993,26,"['scifi', 'comedy', 'animation', 'fantasy']",1,7.2,475
ts22130,1998,21,"['animation', 'comedy', 'family', 'fantasy', 'scifi']",6,6.3,3012
ts38808,2000,26,"['animation', 'fantasy']",2,7.5,99
ts27238,1996,26,"['animation', 'family']",2,6.7,186
ts8570,1992,29,"['comedy', 'family']",14,3.9,7883
ts6856,1999,25,"['scifi', 'animation', 'fantasy', 'drama', 'comedy', 'family']",3,6.3,4227
ts20375,1999,21,"['action', 'scifi', 'animation', 'comedy', 'drama', 'fantasy', 'thriller']",3,7.0,1458
