,id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
2116,ts54024,2016,22,"['family', 'action', 'reality', 'drama']",1.0,6.6,261.0
2117,ts224405,2016,25,['comedy'],3.0,,
2119,ts39246,2015,20,['reality'],4.0,,
2120,ts54154,2016,71,['reality'],1.0,6.2,72.0
2122,ts143451,2015,23,"['animation', 'action', 'family']",1.0,7.2,251.0
2133,ts87543,2016,45,['documentation'],4.0,7.5,95.0
2136,ts77235,2016,22,['comedy'],1.0,7.0,88.0
2138,ts99533,2016,24,['documentation'],1.0,7.3,13.0
2141,ts145279,2015,47,"['history', 'documentation']",2.0,7.7,163.0
2144,ts88391,2016,22,['sport'],3.0,3.7,124.0
2146,ts41349,2016,20,['comedy'],1.0,4.7,214.0
2148,ts147018,2015,29,['reality'],2.0,8.4,85.0
2150,ts70709,2015,44,['documentation'],2.0,7.8,121.0
2152,ts55469,2016,51,['documentation'],1.0,7.2,50.0
2153,ts125643,2016,47,"['documentation', 'drama', 'reality']",2.0,8.0,16.0
2158,ts125638,2015,47,['documentation'],2.0,8.0,22.0
2161,ts99515,2015,47,"['reality', 'documentation']",3.0,7.7,34.0
2162,ts42976,2016,21,['comedy'],2.0,7.9,54.0
2163,ts52896,2015,47,['documentation'],1.0,7.2,12.0
2166,ts124835,2016,45,['documentation'],1.0,7.3,8.0
2167,ts80259,2016,48,['documentation'],1.0,6.7,28.0
2170,ts99527,2016,47,['documentation'],1.0,7.0,13.0
2171,ts125642,2016,48,['documentation'],1.0,7.0,8.0
2172,ts99512,2016,48,['documentation'],2.0,7.2,33.0
2175,ts124282,2016,46,['documentation'],1.0,7.2,11.0
2176,ts78212,2015,47,['documentation'],3.0,7.4,38.0
2177,ts76209,2015,43,['documentation'],1.0,,
2178,ts42240,2016,46,"['documentation', 'sport']",1.0,8.0,29.0
2179,ts99509,2016,48,['documentation'],1.0,8.2,21.0
2180,ts137744,2016,50,['documentation'],1.0,9.0,9.0
2183,ts130940,2016,22,"['history', 'documentation', 'family']",2.0,7.0,29.0
2184,ts99534,2015,48,['documentation'],1.0,7.6,22.0
2185,ts269327,2016,48,['documentation'],1.0,,
2186,ts77073,2015,22,['family'],2.0,5.7,226.0
2189,ts125641,2016,47,['documentation'],1.0,6.7,11.0
2192,ts95878,2015,23,"['horror', 'documentation']",1.0,6.0,26.0
2193,ts83787,2016,50,"['documentation', 'history']",2.0,7.8,255.0
2194,ts99529,2016,48,['documentation'],1.0,7.6,23.0
2196,ts90820,2016,48,['documentation'],1.0,7.4,16.0
2197,ts80545,2016,46,['documentation'],1.0,7.3,17.0
2200,ts56771,2015,46,['reality'],2.0,7.1,108.0
2202,ts94865,2016,48,['documentation'],1.0,7.5,15.0
2203,ts98275,2016,47,['documentation'],1.0,8.2,19.0
2205,ts99514,2015,28,['documentation'],1.0,6.7,10.0
2206,ts99518,2015,46,['documentation'],1.0,7.9,18.0
2208,ts90036,2016,46,['documentation'],1.0,7.8,25.0
2209,ts9838,2016,35,['documentation'],7.0,7.1,36.0
2210,ts125646,2015,23,[],1.0,6.9,26.0
2212,ts77100,2015,45,"['documentation', 'reality']",2.0,7.9,40.0
2215,ts99508,2016,47,['documentation'],1.0,8.0,8.0
2217,ts117125,2016,48,['documentation'],3.0,8.0,20.0
2218,ts58452,2016,46,['documentation'],1.0,7.6,36.0
2221,ts85241,2015,45,['documentation'],1.0,7.1,9.0
2225,ts99535,2016,48,['documentation'],1.0,7.8,15.0
2226,ts99531,2016,46,['documentation'],1.0,8.0,11.0
2228,ts125206,2016,58,['documentation'],1.0,7.3,15.0
2233,ts97912,2016,21,"['documentation', 'comedy']",1.0,,
2234,ts99510,2016,48,['documentation'],1.0,7.6,10.0
2235,ts142624,2015,46,"['reality', 'documentation']",1.0,8.0,14.0
2236,ts99519,2015,23,['documentation'],1.0,8.1,13.0
2239,ts285775,2016,46,[],1.0,,
2241,ts130625,2015,26,"['drama', 'reality']",5.0,8.2,16.0
2245,ts99513,2015,25,[],1.0,,
2246,ts125631,2015,23,[],3.0,9.0,7.0
2247,ts129306,2016,48,['documentation'],1.0,7.2,19.0
2252,ts57131,2017,19,['comedy'],6.0,7.6,67629.0
2253,ts304703,2017,41,"['action', 'drama', 'thriller', 'crime']",6.0,7.1,25450.0
2254,ts82308,2018,42,"['drama', 'thriller', 'action', 'crime']",6.0,7.0,19299.0
2255,ts41351,2017,51,"['scifi', 'action', 'drama']",5.0,7.0,125508.0
2256,ts54025,2017,21,['comedy'],2.0,8.0,2847.0
2257,ts75815,2018,48,"['drama', 'crime', 'history', 'thriller']",1.0,7.9,21620.0
2258,ts82704,2018,21,"['comedy', 'drama', 'documentation', 'music', 'reality']",5.0,6.6,8314.0
2260,ts296864,2017,50,"['drama', 'crime']",6.0,8.3,29609.0
2263,ts57189,2017,43,"['action', 'war', 'drama']",6.0,7.8,28186.0
2264,ts80150,2018,41,['reality'],6.0,6.6,2016.0
2267,ts77030,2017,41,['reality'],5.0,5.2,921.0
2268,ts67787,2017,41,['reality'],5.0,4.8,807.0
2269,ts82584,2018,17,"['scifi', 'action', 'animation', 'family', 'comedy', 'drama', 'fantasy']",2.0,5.5,5376.0
2271,ts82291,2018,27,['comedy'],1.0,8.3,18545.0
2272,ts77617,2018,21,['comedy'],3.0,7.7,3692.0
2273,ts78547,2018,53,"['reality', 'family']",3.0,5.6,855.0
2274,ts75410,2018,54,"['thriller', 'drama']",1.0,6.6,791.0
2278,ts55653,2017,45,"['scifi', 'thriller', 'drama']",2.0,6.9,23150.0
2279,ts84328,2018,24,"['scifi', 'fantasy', 'drama', 'family']",2.0,6.8,2625.0
2283,ts78113,2018,50,"['scifi', 'drama', 'history']",3.0,6.9,2341.0
2285,ts83296,2018,49,"['drama', 'thriller']",2.0,7.1,9509.0
2287,ts55081,2017,44,"['drama', 'history', 'music']",1.0,7.5,995.0
2293,ts58306,2018,42,"['drama', 'thriller', 'crime']",2.0,6.7,8205.0
2294,ts56201,2017,11,"['comedy', 'action', 'animation', 'family', 'fantasy', 'scifi']",2.0,3.4,750.0
2302,ts79200,2018,43,['documentation'],1.0,5.5,495.0
2303,ts58271,2017,48,"['documentation', 'history']",3.0,8.3,426.0
2316,ts75383,2017,24,"['scifi', 'comedy', 'drama']",2.0,6.0,961.0
2318,ts82419,2017,20,['drama'],2.0,7.8,671.0
2321,ts79672,2018,41,['reality'],3.0,4.5,155.0
2322,ts82975,2018,40,"['crime', 'documentation', 'drama']",2.0,7.1,71.0
2324,ts57489,2017,21,['comedy'],3.0,7.4,2333.0
2327,ts82780,2018,41,"['documentation', 'crime']",1.0,7.0,87.0
2329,ts90869,2018,18,"['drama', 'romance']",1.0,6.1,173.0
2330,ts79050,2018,41,"['reality', 'romance']",1.0,3.9,55.0
2332,ts53747,2017,21,['comedy'],2.0,6.5,3322.0
2347,ts80563,2018,42,"['reality', 'romance', 'european']",6.0,5.0,568.0
2352,ts76061,2017,41,['reality'],2.0,5.5,418.0
2355,ts56383,2017,22,"['comedy', 'action', 'family', 'horror', 'drama', 'crime', 'thriller']",4.0,6.8,701.0
2357,ts56328,2017,22,['comedy'],2.0,6.4,1513.0
2379,ts90596,2018,14,"['animation', 'comedy', 'family', 'fantasy']",4.0,6.1,142.0
2384,ts79775,2018,45,"['documentation', 'history']",1.0,6.8,61.0
2387,ts86945,2018,16,"['family', 'fantasy', 'animation', 'comedy']",3.0,5.7,199.0
2390,ts75187,2017,43,"['documentation', 'war']",3.0,6.9,54.0
2399,ts74982,2017,43,"['drama', 'documentation', 'history']",1.0,7.6,69.0
2401,ts82398,2018,25,"['drama', 'scifi', 'comedy']",1.0,7.4,573.0
2411,ts76985,2017,51,"['documentation', 'drama', 'history', 'music', 'reality', 'comedy']",1.0,8.6,9.0
2412,ts77075,2018,22,"['comedy', 'family', 'fantasy']",2.0,5.4,641.0
2422,ts82523,2018,40,['reality'],1.0,3.9,45.0
2436,ts53912,2017,21,"['animation', 'comedy', 'scifi']",1.0,8.0,1772.0
2438,ts74860,2017,48,"['drama', 'thriller']",1.0,7.0,1563.0
2444,ts53812,2017,42,"['documentation', 'crime']",1.0,4.6,213.0
2446,ts85257,2018,44,['documentation'],1.0,7.8,31.0
2451,ts57114,2017,44,"['documentation', 'history']",1.0,,
2467,ts82063,2018,22,[],2.0,5.9,134.0
2476,ts53894,2017,77,"['drama', 'music']",1.0,8.9,2894.0
2477,ts77678,2018,42,"['reality', 'family']",5.0,,
2478,ts55146,2017,20,"['animation', 'family', 'fantasy', 'european']",2.0,4.9,175.0
2479,ts272800,2018,57,"['comedy', 'drama', 'romance']",1.0,6.9,171.0
2481,ts54027,2017,10,"['animation', 'european']",2.0,7.3,54.0
2483,ts118095,2018,14,"['comedy', 'family', 'fantasy', 'animation']",2.0,8.1,50.0
2484,ts58591,2017,22,"['animation', 'comedy', 'family', 'fantasy']",2.0,7.1,497.0
2486,ts55626,2017,20,"['animation', 'comedy', 'family', 'fantasy']",1.0,4.1,741.0
2488,ts104831,2018,43,['documentation'],5.0,8.5,97.0
2489,ts89984,2018,44,"['documentation', 'history', 'drama', 'reality']",3.0,8.2,209.0
2490,ts121292,2017,22,"['family', 'animation', 'comedy']",4.0,7.0,105.0
2492,ts95569,2018,21,"['animation', 'family', 'fantasy']",3.0,4.1,214.0
2497,ts78182,2018,21,"['animation', 'action', 'comedy', 'family', 'scifi']",1.0,2.4,1021.0
2502,ts107506,2018,48,['documentation'],2.0,9.3,167.0
2503,ts53605,2017,51,['documentation'],1.0,7.4,66.0
2519,ts91111,2018,51,"['war', 'history']",1.0,8.5,178.0
2524,ts81086,2018,51,['documentation'],1.0,8.8,105.0
2533,ts80851,2017,47,['documentation'],3.0,8.6,99.0
2542,ts80029,2018,48,['documentation'],1.0,7.3,27.0
2545,ts117128,2017,48,"['history', 'documentation']",1.0,8.2,41.0
2547,ts75619,2017,20,['comedy'],3.0,6.4,35.0
2549,ts109900,2018,49,['documentation'],2.0,8.8,48.0
2550,ts117535,2017,44,[],1.0,8.1,18.0
2563,ts88331,2017,43,"['documentation', 'history']",1.0,7.6,350.0
2564,ts232755,2018,44,['documentation'],1.0,8.5,15.0
2566,ts90942,2018,51,['documentation'],1.0,7.2,38.0
2568,ts81332,2017,46,"['drama', 'documentation']",2.0,6.8,24.0
2574,ts58087,2017,21,['comedy'],1.0,6.2,156.0
2575,ts80543,2018,48,['documentation'],2.0,8.1,16.0
2576,ts77252,2017,20,"['reality', 'comedy']",1.0,5.6,98.0
2586,ts349607,2017,51,['documentation'],1.0,8.2,61.0
2591,ts121350,2017,49,['documentation'],1.0,7.9,58.0
2599,ts55804,2017,21,['comedy'],1.0,6.2,56.0
2601,ts80881,2017,46,['documentation'],1.0,,
2603,ts91982,2017,48,['documentation'],1.0,8.3,16.0
2604,ts117137,2017,45,['documentation'],1.0,7.0,13.0
2610,ts280452,2018,46,['documentation'],1.0,7.2,8.0
2612,ts326817,2018,43,"['drama', 'documentation']",1.0,,
2615,ts119710,2017,41,['reality'],2.0,5.9,41.0
2616,ts117478,2017,48,['documentation'],1.0,7.5,24.0
2619,ts92298,2018,3,['comedy'],1.0,,
2620,ts110089,2018,51,"['reality', 'documentation']",1.0,7.7,27.0
2621,ts91074,2017,43,"['documentation', 'history']",1.0,7.0,72.0
2622,ts109804,2018,21,['comedy'],3.0,7.4,90.0
2623,ts256120,2017,48,['documentation'],1.0,6.9,12.0
2626,ts291963,2018,1,['family'],1.0,,
2634,ts227772,2017,22,['music'],1.0,,
2636,ts118311,2017,3,['comedy'],2.0,8.7,14.0
2637,ts244147,2018,44,['documentation'],1.0,8.2,5.0
2639,ts111175,2018,2,['comedy'],1.0,,
2640,ts87480,2020,48,"['scifi', 'action', 'drama']",3.0,7.3,76562.0
2641,ts88950,2019,49,"['drama', 'comedy', 'crime']",2.0,8.3,25591.0
2642,ts282215,2020,42,"['drama', 'action', 'crime', 'thriller']",4.0,6.9,8934.0
2643,ts88376,2019,46,"['drama', 'crime', 'horror', 'thriller']",3.0,7.7,28349.0
2644,ts186931,2019,20,"['romance', 'comedy']",5.0,6.9,4596.0
2645,ts87479,2020,26,"['scifi', 'comedy', 'animation', 'action']",3.0,7.5,19424.0
2646,ts87912,2020,57,"['scifi', 'drama', 'horror', 'thriller', 'fantasy']",1.0,5.6,27507.0
2650,ts89628,2019,46,['action'],2.0,6.7,6255.0
2651,ts216539,2019,49,['reality'],4.0,4.9,1186.0
2652,ts252505,2019,44,"['thriller', 'family', 'drama', 'fantasy', 'horror']",3.0,7.1,2528.0
2656,ts225512,2020,24,"['comedy', 'family', 'scifi', 'action']",2.0,3.6,1661.0
2659,ts66250,2019,41,['reality'],2.0,5.5,674.0
2660,ts93336,2019,22,"['animation', 'comedy', 'family']",5.0,6.9,712.0
2665,ts269710,2020,21,"['comedy', 'reality']",3.0,4.2,221.0
2666,ts91095,2019,21,"['comedy', 'romance', 'drama', 'family']",2.0,7.2,4389.0
2667,ts37656,2019,43,"['history', 'sport', 'documentation', 'music']",3.0,6.7,13.0
2669,ts109806,2019,21,['comedy'],1.0,7.9,582.0
2671,ts89456,2019,21,"['documentation', 'comedy']",1.0,7.2,267.0
2674,ts90136,2019,43,['reality'],3.0,6.1,396.0
2678,ts262778,2020,21,"['action', 'family', 'fantasy', 'animation']",2.0,6.8,153.0
2679,ts179157,2020,45,['reality'],4.0,6.4,29.0
2680,ts87153,2019,38,['reality'],1.0,4.1,526.0
2681,ts90450,2020,40,"['drama', 'comedy', 'war']",1.0,5.7,2057.0
2687,ts215985,2019,21,['comedy'],1.0,7.4,294.0
2689,ts271247,2019,14,"['animation', 'action', 'family', 'comedy']",4.0,6.7,228.0
2693,ts306086,2019,22,"['comedy', 'family', 'music']",1.0,5.7,236.0
2695,ts89979,2019,41,['documentation'],1.0,7.1,152.0
2710,ts223862,2020,42,"['documentation', 'crime', 'reality']",2.0,6.7,105.0
2712,ts255450,2020,43,"['crime', 'documentation']",1.0,6.7,149.0
2719,ts91117,2019,48,['documentation'],2.0,8.2,82.0
2733,ts89861,2019,49,"['documentation', 'fantasy', 'history']",2.0,7.3,90.0
2736,ts190082,2019,40,['reality'],1.0,4.7,73.0
2742,ts257396,2020,34,"['sport', 'documentation']",2.0,7.4,223.0
2743,ts221174,2019,12,"['animation', 'family']",2.0,6.4,102.0
2774,ts279044,2020,43,['documentation'],1.0,8.6,14.0
2784,ts223523,2019,14,"['action', 'scifi', 'family', 'fantasy', 'animation', 'comedy']",2.0,8.5,451.0
2786,ts105548,2019,20,"['family', 'drama', 'comedy', 'action', 'thriller', 'animation', 'fantasy']",3.0,5.7,1438.0
2788,ts224408,2020,18,"['animation', 'comedy', 'family', 'action', 'thriller']",2.0,6.5,434.0
2789,ts87666,2019,43,['drama'],1.0,6.2,2071.0
2792,ts225450,2020,22,"['action', 'comedy', 'family']",3.0,3.0,501.0
2794,ts256533,2019,11,"['comedy', 'family', 'animation', 'action']",1.0,7.1,60.0
2795,ts89289,2019,23,"['reality', 'comedy', 'thriller']",2.0,6.6,15.0
2797,ts215782,2019,41,"['drama', 'reality', 'western']",3.0,6.8,172.0
2798,ts256845,2020,44,['documentation'],3.0,8.2,60.0
2807,ts90281,2019,40,['drama'],2.0,6.5,552.0
2809,ts90494,2019,22,"['family', 'comedy']",1.0,6.4,74.0
2810,ts227724,2019,40,['reality'],1.0,5.9,137.0
2818,ts101333,2019,52,['documentation'],1.0,8.4,146.0
2819,ts87994,2019,17,"['animation', 'comedy', 'family', 'fantasy']",1.0,5.2,189.0
2827,ts187592,2019,8,['family'],4.0,8.9,167.0
2835,ts89519,2019,23,['family'],3.0,1.8,430.0
2839,ts108638,2019,45,"['romance', 'comedy', 'crime', 'drama']",1.0,6.1,92.0
2841,ts280372,2020,27,['reality'],3.0,1.4,123.0
2842,ts255813,2020,45,['documentation'],1.0,,
2847,ts225264,2020,18,['comedy'],2.0,,
2848,ts216123,2019,42,['reality'],2.0,5.9,407.0
2854,ts91103,2019,51,['documentation'],1.0,7.3,27.0
2856,ts237681,2020,51,"['documentation', 'history']",1.0,7.9,98.0
2870,ts234245,2020,44,['documentation'],1.0,5.3,52.0
2872,ts216991,2019,47,['documentation'],2.0,8.5,120.0
2876,ts271248,2019,51,"['documentation', 'history']",1.0,7.4,68.0
2878,ts236724,2019,43,['documentation'],1.0,7.2,21.0
2880,ts105681,2019,51,['documentation'],1.0,8.1,65.0
2881,ts237227,2020,23,"['documentation', 'reality', 'history']",1.0,6.6,18.0
2884,ts237332,2020,21,['comedy'],1.0,,
2886,ts264956,2019,44,['documentation'],2.0,8.1,28.0
2887,ts218644,2019,40,"['crime', 'documentation']",1.0,7.4,50.0
2888,ts221443,2019,44,[],2.0,8.1,16.0
2893,ts381277,2019,42,['reality'],2.0,4.7,57.0
2898,ts250614,2019,49,['documentation'],2.0,8.5,15.0
2907,ts222783,2019,44,['documentation'],1.0,,
2908,ts269413,2020,50,['documentation'],1.0,,
2909,ts264086,2020,13,"['comedy', 'documentation']",1.0,8.4,98.0
2912,ts217989,2019,44,['documentation'],1.0,,
2917,ts227421,2020,40,"['documentation', 'reality', 'history']",1.0,4.6,35.0
2918,ts267512,2020,46,"['documentation', 'history']",1.0,7.2,128.0
2921,ts345044,2020,44,['documentation'],1.0,8.8,8.0
2922,ts220093,2019,51,['documentation'],1.0,7.1,20.0
2923,ts222728,2019,43,['family'],1.0,6.5,48.0
2930,ts292307,2020,6,"['comedy', 'animation']",1.0,7.4,16.0
2932,ts230942,2019,7,['animation'],1.0,6.9,10.0
2939,ts223385,2019,48,"['documentation', 'history']",1.0,7.7,57.0
2944,ts221056,2019,44,['documentation'],1.0,,
2955,ts240109,2020,21,"['comedy', 'reality']",2.0,5.6,68.0
2956,ts215433,2020,16,"['comedy', 'family', 'fantasy', 'animation']",2.0,2.8,683.0
2958,ts109004,2020,23,"['comedy', 'family', 'scifi', 'fantasy', 'animation']",2.0,6.1,69.0
2962,ts351915,2022,58,"['western', 'drama']",1.0,8.5,22563.0
2964,ts287975,2021,21,"['comedy', 'fantasy']",2.0,7.9,20438.0
2965,ts224255,2021,47,"['drama', 'crime', 'thriller']",2.0,8.2,32888.0
2967,ts272606,2021,56,"['drama', 'western']",1.0,8.7,85449.0
2968,ts320262,2022,38,"['drama', 'crime']",1.0,8.1,42076.0
2971,ts353298,2022,46,['drama'],2.0,7.4,3039.0
2972,ts259709,2022,59,['drama'],1.0,8.7,29660.0
2973,ts353444,2022,42,['drama'],1.0,7.2,4700.0
2975,ts237563,2022,53,"['scifi', 'action']",2.0,8.2,34355.0
2976,ts287434,2021,47,"['drama', 'action', 'crime']",2.0,6.5,6964.0
2977,ts285960,2021,44,"['crime', 'drama']",2.0,7.5,7302.0
2978,ts272625,2021,41,"['action', 'drama', 'crime', 'thriller']",3.0,5.3,13981.0
2980,ts285554,2021,41,"['crime', 'drama', 'thriller', 'action']",2.0,6.4,4697.0
2983,ts43075,2022,51,"['action', 'scifi', 'thriller', 'war']",1.0,7.1,64798.0
2985,ts353455,2022,43,['drama'],1.0,,
2995,ts286275,2021,49,"['western', 'drama']",1.0,7.7,3200.0
2998,ts251523,2021,24,"['action', 'comedy', 'drama', 'family', 'scifi', 'animation']",1.0,7.3,3945.0
3000,ts364938,2022,49,['documentation'],1.0,7.7,298.0
3003,ts354333,2022,49,"['reality', 'action', 'drama', 'sport']",1.0,6.7,339.0
3006,ts310005,2022,43,['drama'],1.0,6.3,942.0
3010,ts327455,2022,49,"['drama', 'music']",1.0,5.9,200.0
3013,ts329876,2022,44,['reality'],1.0,5.3,147.0
3019,ts273356,2021,24,"['comedy', 'drama', 'romance', 'family']",3.0,6.6,5030.0
3021,ts297247,2021,24,"['family', 'comedy']",2.0,4.1,424.0
3022,ts302453,2021,45,['reality'],1.0,7.0,746.0
3024,ts373611,2022,21,['documentation'],1.0,5.6,17.0
3025,ts350474,2022,25,"['documentation', 'drama']",3.0,7.5,132.0
3027,ts343386,2022,44,"['reality', 'romance']",1.0,4.5,184.0
3031,ts312198,2021,34,"['romance', 'sport', 'comedy', 'drama']",2.0,6.2,618.0
3034,ts369806,2022,42,['reality'],1.0,7.0,59.0
3042,ts285148,2021,45,['reality'],3.0,8.2,531.0
3043,ts376197,2022,47,['documentation'],1.0,9.3,21.0
3045,ts309678,2021,46,"['documentation', 'music']",1.0,8.0,51.0
3048,ts343582,2022,49,['drama'],2.0,7.8,287.0
3052,ts287529,2021,47,['documentation'],1.0,8.7,260.0
3055,ts291661,2021,46,"['horror', 'thriller', 'crime', 'fantasy', 'action', 'drama']",2.0,7.2,539.0
3061,ts290928,2022,30,"['comedy', 'drama', 'family', 'scifi', 'animation', 'action']",1.0,6.2,524.0
3064,ts321156,2021,38,"['comedy', 'drama', 'romance']",1.0,6.8,89.0
3074,ts320344,2022,22,"['animation', 'comedy', 'family']",1.0,7.2,483.0
3076,ts225530,2021,16,"['comedy', 'family', 'horror', 'crime', 'fantasy', 'animation']",2.0,3.6,1335.0
3079,ts310078,2021,21,['comedy'],1.0,2.7,631.0
3081,ts279253,2021,43,['reality'],2.0,5.3,57.0
3083,ts343865,2022,51,"['reality', 'family']",1.0,7.2,69.0
3084,ts260911,2021,64,"['crime', 'thriller', 'war', 'drama']",1.0,5.4,524.0
3091,ts287397,2021,44,"['crime', 'documentation', 'history']",1.0,7.7,53.0
3094,ts299835,2021,18,"['animation', 'comedy', 'family', 'fantasy']",1.0,4.1,1321.0
3097,ts310161,2021,49,"['drama', 'crime']",1.0,,
3109,ts299030,2021,54,['reality'],2.0,7.7,35.0
3125,ts271287,2021,44,"['documentation', 'reality']",2.0,,
3131,ts354339,2022,21,['reality'],1.0,6.9,25.0
3133,ts317429,2021,21,"['family', 'sport']",2.0,5.3,35.0
3137,ts296262,2021,44,"['reality', 'documentation']",1.0,8.8,11.0
3138,ts282236,2021,44,['documentation'],1.0,8.5,37.0
3143,ts297043,2021,44,"['documentation', 'history']",1.0,8.0,26.0
3144,ts310234,2021,44,['documentation'],1.0,,
3146,ts341769,2022,43,"['documentation', 'music']",1.0,8.0,12.0
3152,ts287358,2021,42,['reality'],2.0,5.7,34.0
3153,ts312009,2021,44,[],1.0,,
3155,ts344163,2022,50,"['documentation', 'crime']",1.0,5.9,96.0
3156,ts321300,2022,51,"['documentation', 'war', 'crime', 'history']",1.0,4.3,299.0
3159,ts341765,2021,44,['documentation'],1.0,,
3160,ts284778,2021,44,['documentation'],1.0,8.3,26.0
3161,ts288550,2021,42,['crime'],1.0,,
3167,ts369971,2022,1,['family'],1.0,,
3169,ts373298,2022,88,[],1.0,,
3170,ts324789,2021,24,[],3.0,,
3172,ts291097,2021,40,['documentation'],1.0,4.3,18.0
3173,ts313367,2023,50,"['drama', 'fantasy', 'horror', 'scifi']",1.0,6.2,4183.0
3174,ts378183,2023,0,['drama'],1.0,,
3177,ts374339,2023,48,"['documentation', 'history', 'music']",1.0,7.7,91.0
3178,ts361945,2023,24,"['drama', 'documentation']",1.0,6.9,25.0
3179,ts378319,2023,42,['reality'],1.0,5.7,76.0
