,id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
1180,ts22283,1999,24,"['comedy', 'family', 'sport', 'animation', 'action']",3.0,6.8,9910.0
1181,ts26918,1994,20,"['crime', 'family', 'animation', 'action', 'comedy']",4.0,7.2,2034.0
1184,ts16919,1994,24,"['comedy', 'family', 'music']",11.0,7.5,7913.0
1185,ts2070,1997,17,"['comedy', 'family', 'animation']",5.0,7.2,15248.0
1187,ts21669,1994,47,"['scifi', 'fantasy', 'drama', 'family']",9.0,6.0,7447.0
1188,ts6600,1991,24,"['animation', 'comedy', 'drama', 'family', 'fantasy']",8.0,7.4,19367.0
1192,ts11988,1991,28,"['comedy', 'family']",5.0,7.1,9234.0
1197,ts16650,1998,21,"['comedy', 'sport', 'animation', 'action']",6.0,6.9,11528.0
1198,ts11783,1998,20,"['animation', 'comedy', 'family']",3.0,6.5,23763.0
1199,ts4161,1999,11,"['animation', 'crime', 'fantasy', 'comedy', 'family', 'european']",21.0,5.5,4961.0
1202,ts635,1998,24,"['documentation', 'comedy']",15.0,8.0,1166.0
1207,ts20939,1996,21,"['drama', 'family', 'comedy']",6.0,5.8,3899.0
1212,ts21693,1994,22,"['comedy', 'drama', 'family']",6.0,6.3,13054.0
1217,ts13212,1995,23,"['comedy', 'romance']",4.0,6.2,4087.0
1221,ts28755,1995,19,"['action', 'drama', 'family', 'fantasy', 'animation']",5.0,7.3,4150.0
1238,ts16790,2000,27,"['family', 'animation', 'comedy', 'drama', 'music', 'crime']",3.0,6.9,6781.0
1255,ts51481,1996,22,"['comedy', 'family', 'animation']",1.0,8.1,69.0
1256,ts6716,1994,23,['family'],3.0,6.6,347.0
1258,ts14475,1999,23,"['comedy', 'family']",3.0,6.7,7917.0
1266,ts27551,1996,24,"['animation', 'comedy', 'family']",4.0,7.8,2647.0
1268,ts27983,1992,26,['family'],5.0,7.5,618.0
1271,ts36834,2000,23,"['reality', 'music']",19.0,5.1,1832.0
1275,ts39950,2000,21,"['family', 'comedy']",3.0,8.4,245.0
1279,ts39373,1993,23,[],3.0,,
1284,ts70730,1994,22,['family'],4.0,7.4,1304.0
1301,ts1470,2000,24,['documentation'],5.0,8.0,87.0
1302,ts198397,1996,23,"['animation', 'comedy', 'family']",3.0,8.1,717.0
1304,ts6495,2005,44,"['drama', 'thriller', 'crime']",16.0,8.1,204480.0
1305,ts21262,2009,51,['reality'],15.0,8.5,21203.0
1306,ts22337,2003,43,"['thriller', 'comedy', 'action', 'crime', 'drama']",20.0,7.7,137745.0
1307,ts10722,2010,42,"['drama', 'thriller', 'crime']",13.0,7.7,42277.0
1308,ts3371,2005,24,"['animation', 'action', 'family', 'fantasy']",3.0,9.3,324247.0
1309,ts21253,2009,45,"['action', 'drama', 'crime']",14.0,6.8,54784.0
1310,ts21745,2003,20,"['comedy', 'crime']",7.0,7.9,21140.0
1313,ts21230,2009,44,"['drama', 'crime']",7.0,8.4,77687.0
1315,ts5716,2001,48,"['reality', 'family', 'action']",34.0,7.8,14888.0
1321,ts22265,2004,6,"['family', 'animation', 'comedy']",7.0,6.3,5556.0
1324,ts21543,2010,43,"['drama', 'action', 'crime']",10.0,7.4,75005.0
1327,ts17942,2003,21,"['comedy', 'music']",3.0,8.8,66715.0
1341,ts21969,2001,22,"['scifi', 'comedy', 'drama', 'family', 'horror', 'animation', 'action']",2.0,8.4,21790.0
1342,ts20642,2006,43,"['action', 'drama', 'scifi']",2.0,7.9,57213.0
1348,ts21605,2001,44,"['scifi', 'action', 'drama']",4.0,7.5,54874.0
1353,ts29186,2006,23,"['reality', 'drama', 'music']",6.0,3.7,11389.0
1354,ts21933,2010,22,['comedy'],6.0,7.4,15076.0
1355,ts22018,2007,26,"['family', 'comedy', 'romance']",6.0,6.7,41021.0
1356,ts29582,2010,44,"['documentation', 'reality']",11.0,5.8,3563.0
1358,ts587,2002,22,"['scifi', 'animation', 'comedy', 'drama', 'family']",1.0,8.2,7751.0
1360,ts22456,2004,25,"['comedy', 'family']",3.0,7.4,18499.0
1361,ts1612,2006,35,"['reality', 'sport']",17.0,6.8,584.0
1363,ts21457,2005,45,"['drama', 'scifi', 'thriller', 'crime', 'fantasy', 'family']",7.0,7.1,29109.0
1365,ts31820,2004,23,"['reality', 'drama']",4.0,4.8,3917.0
1366,ts19036,2001,23,"['comedy', 'scifi', 'family', 'fantasy', 'animation']",10.0,7.2,38046.0
1369,ts22117,2003,27,"['reality', 'comedy']",6.0,5.4,742.0
1370,ts30311,2010,24,"['comedy', 'family', 'romance', 'drama', 'music', 'sport']",4.0,7.0,26452.0
1372,ts31666,2003,22,"['reality', 'documentation', 'comedy']",4.0,7.3,4971.0
1375,ts4746,2004,25,"['animation', 'comedy', 'family']",4.0,7.1,3481.0
1378,ts516,2004,22,"['animation', 'comedy', 'reality']",3.0,7.1,20708.0
1381,ts18569,2002,47,"['drama', 'thriller', 'action', 'crime']",10.0,6.4,58606.0
1384,ts21464,2005,25,"['drama', 'comedy', 'romance', 'family']",4.0,6.1,16416.0
1387,ts15200,2005,21,"['comedy', 'drama', 'music']",4.0,7.5,39086.0
1388,ts17931,2004,47,"['drama', 'thriller', 'action', 'crime', 'reality']",9.0,6.9,47880.0
1390,ts13001,2004,26,"['scifi', 'action', 'animation', 'comedy', 'family', 'fantasy', 'horror']",3.0,7.1,19031.0
1392,ts8300,2004,26,"['comedy', 'family']",4.0,7.7,40880.0
1396,ts2370,2002,26,"['animation', 'action', 'comedy', 'family', 'scifi']",4.0,6.9,426.0
1397,ts18262,2008,42,"['drama', 'action', 'war', 'thriller', 'crime', 'sport']",5.0,7.7,17345.0
1405,ts21783,2009,22,['comedy'],12.0,8.5,12.0
1408,ts23771,2009,41,['reality'],9.0,3.6,4749.0
1413,ts29760,2010,22,"['animation', 'fantasy', 'horror', 'comedy']",2.0,8.0,10534.0
1420,ts21508,2005,22,"['comedy', 'animation']",2.0,8.4,4683.0
1426,ts6212,2002,21,"['comedy', 'animation']",6.0,6.2,3196.0
1427,ts22180,2010,22,['reality'],15.0,7.8,3576.0
1428,ts20526,2006,22,"['drama', 'comedy', 'romance', 'sport']",10.0,6.8,4597.0
1429,ts22187,2007,22,"['comedy', 'animation']",3.0,4.2,11.0
1431,ts21668,2001,44,"['drama', 'crime']",3.0,7.4,5446.0
1434,ts23195,2009,42,"['reality', 'romance', 'drama', 'comedy']",6.0,3.8,23933.0
1438,ts911,2010,40,['reality'],10.0,3.6,728.0
1448,ts20527,2008,21,"['comedy', 'animation', 'family', 'scifi', 'action']",3.0,7.5,19832.0
1452,ts928,2009,52,"['war', 'documentation', 'history', 'european']",2.0,7.3,43.0
1454,ts20358,2002,21,['comedy'],4.0,7.1,1954.0
1455,ts12815,2009,25,"['comedy', 'drama', 'family', 'music']",4.0,6.4,13027.0
1458,ts3922,2003,25,"['comedy', 'drama', 'family', 'animation']",5.0,5.4,5449.0
1465,ts25975,2005,21,"['reality', 'documentation']",10.0,1.8,3135.0
1471,ts21455,2010,53,['drama'],2.0,7.5,15019.0
1480,ts21513,2010,25,"['action', 'scifi', 'family', 'animation']",4.0,6.1,1033.0
1482,ts24584,2002,56,"['reality', 'crime']",13.0,5.8,749.0
1483,ts37857,2010,50,['documentation'],8.0,8.9,713.0
1488,ts20667,2009,24,"['scifi', 'comedy', 'action', 'family']",2.0,6.1,1201.0
1497,ts32764,2007,29,"['animation', 'family']",3.0,6.7,459.0
1501,ts31652,2004,41,"['comedy', 'european']",17.0,7.5,689.0
1509,ts7183,2007,24,"['animation', 'family', 'comedy', 'reality']",2.0,5.7,4106.0
1514,ts12785,2004,24,"['animation', 'comedy', 'family']",2.0,6.9,179.0
1515,ts18694,2010,22,"['documentation', 'comedy', 'reality']",2.0,8.6,597.0
1516,ts22217,2010,25,"['animation', 'family', 'comedy']",7.0,4.3,1828.0
1519,ts21787,2003,25,"['action', 'scifi', 'animation', 'comedy', 'family']",4.0,7.0,10457.0
1520,ts26564,2008,47,"['documentation', 'history', 'fantasy']",5.0,6.9,92.0
1523,ts20565,2008,25,"['comedy', 'drama', 'family']",3.0,5.9,3295.0
1525,ts18557,2007,21,"['drama', 'reality']",3.0,4.7,154.0
1526,ts21411,2002,16,"['animation', 'family']",7.0,6.1,2632.0
1527,ts21233,2006,21,"['fantasy', 'comedy', 'war', 'family', 'thriller', 'animation', 'action', 'crime']",7.0,6.5,2061.0
1528,ts5135,2002,25,"['animation', 'fantasy', 'music', 'comedy', 'family']",5.0,6.5,3414.0
1535,ts2766,2009,46,"['documentation', 'reality', 'comedy']",6.0,3.1,2760.0
1539,ts31482,2001,22,"['family', 'animation']",1.0,7.6,1905.0
1540,ts22042,2007,23,"['comedy', 'action', 'fantasy', 'animation', 'family']",2.0,3.3,857.0
1541,ts21521,2010,37,['comedy'],4.0,6.9,236.0
1542,ts17335,2009,20,"['animation', 'action', 'comedy', 'family', 'fantasy', 'scifi']",2.0,3.3,4209.0
1549,ts21228,2008,24,"['comedy', 'animation', 'family']",2.0,5.3,2542.0
1550,ts22008,2007,23,"['animation', 'comedy', 'family']",2.0,4.4,1030.0
1554,ts11772,2009,25,['family'],3.0,6.6,579.0
1556,ts27643,2005,22,"['documentation', 'family', 'music', 'reality']",6.0,6.7,957.0
1558,ts22004,2007,25,"['animation', 'family', 'fantasy']",2.0,5.3,1088.0
1560,ts20508,2009,22,"['reality', 'comedy']",7.0,7.6,2819.0
1565,ts269614,2009,37,"['reality', 'family']",14.0,4.2,10.0
1566,ts5961,2004,22,['reality'],6.0,5.6,141.0
1567,ts25382,2008,56,['documentation'],4.0,,
1568,ts306018,2005,22,['comedy'],18.0,6.5,2446.0
1569,ts22303,2010,19,"['action', 'comedy', 'crime', 'family', 'animation']",3.0,5.6,3528.0
1570,ts30244,2010,22,"['family', 'fantasy', 'animation', 'european']",4.0,5.9,286.0
1571,ts645,2003,82,['comedy'],1.0,7.3,80.0
1573,ts36793,2006,27,"['reality', 'comedy', 'romance']",7.0,3.3,818.0
