id,release_year,runtime,genres,seasons,imdb_score,imdb_votes,platform
ts17149,2001,59,"['drama', 'war', 'history', 'action']",1,9.4,477321,max
ts20371,2002,58,"['comedy', 'reality', 'european', 'music']",33,8.7,120892,max
ts6457,2007,43,"['comedy', 'drama', 'action']",5,8.2,134647,max
ts14772,2010,56,"['drama', 'history', 'crime']",5,8.6,192784,max
ts21218,2008,44,"['drama', 'crime', 'thriller']",7,8.1,188659,max
ts21247,2009,42,"['drama', 'scifi', 'thriller', 'fantasy', 'horror', 'romance']",8,7.7,327550,max
ts13023,2004,53,"['western', 'drama', 'crime', 'history']",3,8.6,109883,max
ts20566,2008,54,"['scifi', 'drama', 'fantasy', 'horror', 'romance', 'thriller']",7,7.6,149,max
ts22363,2005,54,"['action', 'drama', 'romance', 'war', 'history', 'european']",2,8.7,174789,max
ts2158,2009,28,"['comedy', 'drama', 'sport']",4,8.3,59737,max
ts10095,2010,13,"['animation', 'comedy', 'scifi', 'family', 'fantasy', 'action']",10,8.6,98833,max
ts22236,2007,46,"['scifi', 'comedy', 'drama', 'romance', 'fantasy']",2,8.4,57775,max
ts21654,2001,60,"['drama', 'comedy']",5,8.7,137520,max
ts22463,2004,23,"['action', 'comedy', 'animation', 'fantasy', 'scifi']",7,8.6,26514,max
ts21440,2010,54,"['action', 'war', 'drama', 'history']",1,8.3,115400,max
ts22027,2007,42,"['drama', 'thriller', 'romance']",6,7.4,167534,max
ts21788,2003,60,['comedy'],21,7.4,13840,max
ts20562,2009,21,"['comedy', 'family']",9,7.6,50759,max
ts17942,2003,21,"['comedy', 'music']",3,8.8,66715,max
ts580,2005,49,"['crime', 'drama']",7,7.8,26817,max
ts21860,2010,45,"['drama', 'thriller', 'romance']",7,7.4,170380,max
ts21749,2003,48,"['drama', 'romance', 'sport']",9,7.8,82467,max
ts21804,2003,43,"['drama', 'comedy', 'romance']",4,7.5,91496,max
ts21507,2010,24,"['animation', 'horror', 'drama', 'thriller', 'comedy', 'crime', 'action', 'family', 'fantasy']",4,8.1,14274,max
ts21532,2010,43,"['drama', 'crime']",7,7.6,35158,max
ts8782,2003,52,"['scifi', 'thriller', 'drama', 'fantasy']",2,8.4,45429,max
ts21601,2001,23,"['action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller']",5,8.5,55095,max
ts17808,2005,22,"['animation', 'action', 'comedy', 'drama']",4,8.5,32222,max
ts2578,2003,44,"['drama', 'crime', 'thriller']",7,7.6,28768,max
ts16452,2007,27,"['comedy', 'music']",2,8.6,62814,max
ts22314,2005,11,"['comedy', 'drama', 'thriller', 'animation', 'scifi', 'action']",11,7.7,44247,max
ts20986,2006,51,"['action', 'drama', 'scifi', 'fantasy', 'horror', 'thriller', 'european']",4,7.7,41845,max
ts36879,2001,53,"['documentation', 'reality', 'sport']",18,8.0,23,max
ts21776,2003,23,"['action', 'animation', 'comedy', 'family', 'fantasy', 'scifi', 'thriller']",5,7.9,34016,max
ts21438,2010,21,"['comedy', 'romance']",6,6.5,26538,max
ts21884,2008,70,"['drama', 'history']",1,8.5,31572,max
ts85715,2004,24,"['action', 'animation', 'family', 'fantasy', 'scifi']",3,8.7,17294,max
ts21873,2001,23,"['action', 'scifi', 'thriller', 'family', 'fantasy', 'animation', 'romance', 'drama']",2,8.6,47823,max
ts13170,2004,22,"['scifi', 'action', 'thriller', 'animation', 'fantasy', 'family', 'crime', 'drama']",5,7.3,12353,max
ts22225,2010,12,"['comedy', 'animation', 'action', 'family', 'fantasy', 'scifi']",8,8.5,48173,max
ts20647,2010,23,"['scifi', 'action', 'fantasy', 'romance', 'drama', 'animation', 'crime']",4,8.6,42487,max
ts20599,2008,67,"['war', 'drama', 'action']",1,8.5,55211,max
ts6889,2009,27,"['crime', 'comedy', 'drama', 'thriller']",3,7.9,33837,max
ts9273,2001,25,"['drama', 'romance']",14,7.6,14045,max
ts2024,2004,28,"['drama', 'comedy']",8,8.5,171335,max
ts20529,2006,14,"['animation', 'comedy', 'music']",5,8.3,17274,max
ts21484,2005,11,"['comedy', 'drama', 'animation']",4,8.0,6728,max
ts3707,2006,54,['drama'],5,7.7,22345,max
ts26499,2008,45,"['reality', 'comedy', 'family']",7,6.6,7950,max
ts22050,2002,46,"['action', 'drama', 'crime', 'thriller']",7,6.8,8,max
ts22181,2007,12,"['comedy', 'music']",5,7.6,11709,max
ts13416,2007,58,"['drama', 'crime', 'thriller']",2,6.6,2956,max
ts25803,2008,19,"['comedy', 'animation']",3,8.3,6632,max
