id,release_year,runtime,genres,seasons,imdb_score,imdb_votes,platform
ts24463,1990,24,['scifi'],3,0.0,0,amazon
ts28758,1987,23,"['animation', 'comedy', 'family', 'fantasy']",1,6.8,462,amazon
ts672,1986,22,"['drama', 'thriller', 'crime']",1,8.7,278,amazon
ts19439,1989,24,['comedy'],6,7.8,991,amazon
ts28560,1985,24,"['action', 'scifi', 'animation']",1,8.3,193,amazon
ts23297,1989,28,"['comedy', 'drama']",1,7.0,81,amazon
ts1000,1986,29,"['scifi', 'fantasy']",1,7.2,82,amazon
ts22176,1997,44,"['scifi', 'action', 'drama']",10,8.4,90196,amazon
ts21223,1997,22,"['scifi', 'action', 'animation', 'comedy', 'fantasy', 'family']",25,7.4,224,amazon
ts20951,1999,19,"['comedy', 'scifi', 'animation', 'family', 'fantasy']",13,8.2,101891,amazon
ts22442,1995,23,"['comedy', 'romance']",5,8.0,16293,amazon
ts28055,1992,58,"['comedy', 'drama', 'romance', 'crime', 'family', 'documentation']",4,7.8,4742,amazon
ts21024,1996,44,"['drama', 'scifi', 'thriller', 'crime', 'comedy']",4,7.5,16237,amazon
ts30735,1993,46,"['drama', 'thriller', 'crime']",12,7.7,14733,amazon
ts21321,1992,32,"['reality', 'comedy', 'animation', 'documentation', 'drama']",33,6.3,28,amazon
ts9583,1998,44,"['drama', 'romance']",6,6.8,42388,amazon
ts20700,1992,23,"['comedy', 'romance']",10,6.7,24071,amazon
ts22121,1998,22,"['comedy', 'romance']",11,7.3,57164,amazon
ts10069,1999,24,"['animation', 'fantasy', 'horror', 'scifi', 'comedy', 'family']",1,7.3,734,amazon
ts29358,2000,24,"['animation', 'comedy', 'scifi', 'horror', 'thriller']",1,8.0,2261,amazon
ts11981,1998,44,"['drama', 'romance']",4,6.9,12189,amazon
ts9612,1997,44,"['drama', 'comedy', 'romance', 'fantasy', 'music']",5,6.9,34498,amazon
ts21034,2000,25,"['animation', 'action', 'comedy', 'drama', 'fantasy', 'romance', 'scifi']",9,7.9,16790,amazon
ts30927,1993,22,"['scifi', 'animation', 'comedy', 'fantasy', 'horror']",3,7.5,1402,amazon
ts37874,1994,44,"['western', 'drama']",4,7.3,895,amazon
ts6602,1997,29,"['comedy', 'romance']",5,6.4,30052,amazon
ts26133,1994,43,"['scifi', 'action', 'comedy', 'thriller', 'crime', 'fantasy']",1,5.5,2632,amazon
ts21558,2000,22,"['scifi', 'action', 'comedy', 'animation', 'family', 'fantasy']",5,7.4,20229,amazon
ts12767,1996,25,"['animation', 'comedy', 'family']",7,6.9,6187,amazon
ts3534,1995,23,"['comedy', 'family', 'animation']",3,5.6,873,amazon
ts25550,1994,20,"['comedy', 'drama']",4,5.8,1853,amazon
ts7221,1996,21,"['fantasy', 'animation', 'comedy', 'drama', 'family', 'music', 'scifi']",25,7.4,14717,amazon
ts21737,1997,45,"['drama', 'crime', 'romance', 'thriller']",8,7.7,9638,amazon
ts18498,1992,46,"['scifi', 'crime', 'drama', 'fantasy', 'horror']",3,7.6,2852,amazon
ts35810,2000,27,['documentation'],11,8.5,15,amazon
ts21704,1994,44,"['drama', 'crime']",4,7.9,2708,amazon
ts10993,1991,30,"['comedy', 'european']",3,8.3,13470,amazon
ts6190,1999,18,"['animation', 'family', 'comedy']",6,7.5,38710,amazon
ts15069,1998,50,"['documentation', 'crime', 'drama', 'history', 'thriller']",7,8.0,1216,amazon
ts22137,1998,34,['comedy'],4,8.2,8340,amazon
ts6589,1996,16,"['comedy', 'scifi', 'animation', 'family', 'fantasy']",4,7.9,47163,amazon
ts11119,1992,25,['family'],7,7.1,1665,amazon
ts13984,2000,26,"['action', 'family', 'animation', 'comedy', 'fantasy']",8,4.2,6941,amazon
ts11118,2000,23,"['animation', 'family', 'comedy', 'music']",3,5.3,171,amazon
ts14867,1995,82,['drama'],1,6.7,181,amazon
ts68960,1999,0,['drama'],1,7.2,119,amazon
ts22282,1999,36,"['drama', 'european']",2,8.2,7232,amazon
ts9770,1991,23,"['action', 'family', 'animation', 'comedy', 'scifi', 'crime', 'european']",7,8.3,18468,amazon
ts21705,1994,48,"['documentation', 'thriller', 'history', 'european']",21,8.5,1614,amazon
ts35314,1999,30,['comedy'],2,8.4,585,amazon
ts31816,1997,62,"['drama', 'comedy', 'romance']",1,7.7,836,amazon
ts35382,1997,85,"['action', 'drama', 'romance', 'european']",1,7.3,1142,amazon
ts25096,1998,45,"['drama', 'family']",2,7.6,368,amazon
ts25996,1994,24,"['drama', 'comedy', 'scifi', 'action', 'fantasy', 'romance', 'animation']",2,7.7,889,amazon
ts18424,1998,23,"['animation', 'comedy', 'drama', 'family', 'fantasy']",10,3.9,3394,amazon
ts31327,1997,19,"['family', 'fantasy', 'european']",15,3.8,8147,amazon
ts31058,1999,26,"['comedy', 'family', 'animation']",2,7.5,3096,amazon
ts18398,1992,36,['comedy'],8,7.9,576,amazon
ts27611,1996,21,['documentation'],8,6.0,26,amazon
ts7242,1993,26,"['scifi', 'comedy', 'animation', 'fantasy']",1,7.2,475,amazon
ts22130,1998,21,"['animation', 'comedy', 'family', 'fantasy', 'scifi']",6,6.3,3012,amazon
ts38808,2000,26,"['animation', 'fantasy']",2,7.5,99,amazon
ts27238,1996,26,"['animation', 'family']",2,6.7,186,amazon
ts8570,1992,29,"['comedy', 'family']",14,3.9,7883,amazon
ts6856,1999,25,"['scifi', 'animation', 'fantasy', 'drama', 'comedy', 'family']",3,6.3,4227,amazon
ts20375,1999,21,"['action', 'scifi', 'animation', 'comedy', 'drama', 'fantasy', 'thriller']",3,7.0,1458,amazon
ts17893,1992,8,"['comedy', 'family', 'fantasy', 'animation']",6,5.5,2946,amazon
ts39642,1994,92,"['war', 'drama', 'history']",1,6.6,547,amazon
ts67359,1995,89,['drama'],1,0.0,0,amazon
ts71025,1994,48,"['comedy', 'drama']",2,8.2,104,amazon
ts27730,1996,27,['family'],1,8.2,261,amazon
ts31733,1999,25,"['drama', 'animation', 'comedy', 'action', 'romance']",1,8.4,3804,amazon
ts44314,1998,10,"['animation', 'comedy']",2,7.9,365,amazon
ts39831,1991,24,"['animation', 'family', 'fantasy']",6,7.0,1746,amazon
ts5076,2000,47,"['action', 'family']",1,6.6,241,amazon
ts28352,2000,20,"['animation', 'comedy', 'family']",2,6.6,501,amazon
ts9008,1998,50,['drama'],2,7.0,156,amazon
ts27243,1996,25,"['animation', 'family', 'comedy']",4,7.1,470,amazon
ts31384,1997,33,['reality'],12,7.5,163,amazon
ts30640,1993,26,"['comedy', 'family', 'sport', 'animation']",5,6.9,190,amazon
ts36219,1997,22,"['documentation', 'family']",1,6.7,16,amazon
ts208323,1992,53,['documentation'],1,8.4,148,amazon
ts1470,2000,24,['documentation'],5,8.0,87,amazon
ts20552,2009,28,"['comedy', 'drama']",3,8.2,33536,amazon
ts22280,2004,44,['drama'],8,8.7,472899,amazon
ts21182,2006,44,"['drama', 'comedy', 'crime']",8,8.4,99923,amazon
ts11,2010,58,"['drama', 'romance', 'history', 'european']",6,8.7,210934,amazon
ts6457,2007,43,"['comedy', 'drama', 'action']",5,8.2,134647,amazon
ts20604,2006,43,"['drama', 'sport']",5,8.7,68182,amazon
ts20307,2002,43,"['crime', 'drama', 'comedy']",8,8.0,77443,amazon
ts11313,2006,24,"['animation', 'drama', 'fantasy', 'thriller', 'crime']",1,9.0,334730,amazon
ts22455,2004,44,"['action', 'drama', 'scifi']",5,8.1,68289,amazon
ts10891,2006,46,"['scifi', 'drama', 'comedy', 'romance']",5,7.9,55214,amazon
ts22295,2007,23,"['comedy', 'drama', 'romance', 'thriller']",7,9.2,6,amazon
ts20305,2002,23,"['action', 'scifi', 'comedy', 'animation', 'fantasy', 'thriller']",6,8.4,107461,amazon
ts35960,2004,23,"['animation', 'action', 'comedy', 'drama', 'romance']",1,6.8,1281,amazon
ts22265,2004,6,"['family', 'animation', 'comedy']",7,6.3,5556,amazon
ts8226,2010,28,['comedy'],4,7.1,1570,amazon
ts22486,2010,47,['reality'],13,7.2,5084,amazon
ts21197,2008,44,"['drama', 'fantasy', 'scifi', 'action', 'european']",5,7.9,83612,amazon
ts10913,2004,58,"['drama', 'comedy', 'crime']",5,8.5,47510,amazon
ts20588,2009,44,"['drama', 'scifi', 'action']",2,7.6,51430,amazon
